"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Университет","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"71",NA,"Senior Software Engineer","Java","","4","4",2600,0,"Днепр.","свыше 1000 человек","Другая","женский",26,"Высшее","ДНУ им. Гончара","False","средний","Финансы и банки","21/12/2015 10:22:18","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:29.0) Gecko/20100101 Firefox/29.0",4,4,"Днепр.",2600,NA,"DEV"
"72",NA,"QA engineer","","Manual QA","3","1.5",500,0,"Киев","до 200 человек","Аутсорсинговая","мужской",27,"Незаконченное высшее","Другой вуз","False","ниже среднего","Веб-разработка,eCommerce","21/12/2015 10:22:36","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,1.5,"Киев",500,NA,"QA"
"73",NA,"Senior Software Engineer","Java","","5","1.5",3100,400,"Киев","до 200 человек","Аутсорсинговая","мужской",32,"Высшее","Другой вуз","False","ниже среднего","Веб-разработка,Корпоративные системы","21/12/2015 10:22:57","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",5,1.5,"Киев",3100,NA,"DEV"
"74",NA,"Software Engineer","PHP","","5","4",1400,200,"Хмельницкий","до 50 человек","Аутсорсинговая","мужской",28,"Высшее","ХНУ [г. Хмельницкий]","False","выше среднего","Веб-разработка","21/12/2015 10:23:06","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,4,"other",1400,NA,"DEV"
"75",NA,"Director of Engineering / Program Director","","","10 и более лет","7",1000,0,"Ровно","до 10 человек","Другая","мужской",34,"Незаконченное высшее","Другой вуз","False","выше среднего","eCommerce,Корпоративные системы","21/12/2015 10:23:07","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",10,7,"other",1000,NA,"SPM"
"76",NA,"Senior Software Engineer","JavaScript","","5","1.5",3300,0,"Днепр.","свыше 1000 человек","Аутсорсинговая","мужской",27,"Высшее","ДНУ им. Гончара","False","выше среднего","Веб-разработка","21/12/2015 10:23:21","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",5,1.5,"Днепр.",3300,NA,"DEV"
"77",NA,"Software Engineer","Objective-C","","7","1.5",2200,0,"Харьков","до 50 человек","Аутсорсинговая","мужской",25,"Высшее","ХНЭУ","False","ниже среднего","iOS","21/12/2015 10:23:42","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",7,1.5,"Харьков",2200,NA,"DEV"
"78",NA,"Senior Software Engineer","Java","","6","меньше 3 месяцев",3700,500,"Львов","до 200 человек","Аутсорсинговая","мужской",27,"Высшее","Другой вуз","False","выше среднего","Android","21/12/2015 10:23:45","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/47.0.2526.73 Chrome/47.0.2526.73 Safari/537.36",6,0,"Львов",3700,NA,"DEV"
"79",NA,"Software Engineer","Java","","4","0.5",2800,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","НАУ","False","средний","Финансы и банки,Корпоративные системы","21/12/2015 10:23:53","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",4,0.5,"Киев",2800,NA,"DEV"
"80",NA,"Software Engineer","JavaScript","","4","1",1300,300,"Киев","до 50 человек","Аутсорсинговая","мужской",23,"Техникум / Колледж","","False","ниже среднего","eCommerce","21/12/2015 10:23:53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,1,"Киев",1300,NA,"DEV"
"81",NA,"Software Engineer","C++","","10 и более лет","4",1700,120,"Киев","до 200 человек","Продуктовая","мужской",37,"Высшее","НТУУ «КПИ»","False","средний","Embedded,Финансы и банки","21/12/2015 10:23:54","Mozilla/5.0 (Windows NT 6.1; rv:42.0) Gecko/20100101 Firefox/42.0 SeaMonkey/2.39",10,4,"Киев",1700,NA,"DEV"
"82",NA,"Junior QA engineer","","Manual QA","1.5","меньше 3 месяцев",1000,400,"Киев","до 200 человек","Аутсорсинговая","женский",22,"Высшее","НТУУ «КПИ»","True","средний","Финансы и банки","21/12/2015 10:23:55","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36",1.5,0,"Киев",1000,NA,"QA"
"83",NA,"Junior Software Engineer","JavaScript","","0.25","0.25",800,-400,"Харьков","до 50 человек","Продуктовая","женский",36,"Высшее","Другой вуз","False","ниже среднего","Desktop Applications,Веб-разработка","21/12/2015 10:24:05","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",0.25,0.25,"Харьков",800,NA,"DEV"
"84",NA,"Software Engineer","PHP","","1.5","1.5",600,0,"Киев","до 10 человек","Стартап","женский",21,"Незаконченное высшее","Другой вуз","True","выше среднего","eCommerce","21/12/2015 10:24:07","Mozilla/5.0 (Linux; Android 4.4.2; Venue 8 3830 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Safari/537.36",1.5,1.5,"Киев",600,NA,"DEV"
"85",NA,"Technical writer","","","2","2",500,200,"Львов","до 50 человек","Аутсорсинговая","мужской",25,"Высшее","Львовская Политехника","False","средний","Веб-разработка","21/12/2015 10:24:09","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0",2,2,"Львов",500,NA,""
"86",NA,"Designer","","","3","0.5",700,-150,"Киев","до 50 человек","Аутсорсинговая","мужской",26,"Высшее","НТУУ «КПИ»","False","средний","Веб-разработка","21/12/2015 10:24:15","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,0.5,"Киев",700,NA,""
"87",NA,"QA Tech Lead","","General QA","2","меньше 3 месяцев",2300,800,"Киев","до 10 человек","Стартап","мужской",25,"Высшее","НТУУ «КПИ»","False","средний","","21/12/2015 10:24:22","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,0,"Киев",2300,NA,"QA"
"88",NA,"Software Engineer","C#/.NET","","3","1",3000,700,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",27,"Высшее","НТУУ «КПИ»","False","выше среднего","Финансы и банки","21/12/2015 10:24:22","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36",3,1,"Киев",3000,NA,"DEV"
"89",NA,"Team lead","","","5","3",4500,500,"Киев","до 50 человек","Продуктовая","мужской",25,"Среднее","","False","выше среднего","Веб-разработка","21/12/2015 10:24:29","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/47.0.2526.73 Chrome/47.0.2526.73 Safari/537.36",5,3,"Киев",4500,NA,"PM"
"90",NA,"Senior Software Engineer","PHP","","8","5",2500,2500,"Харьков","до 50 человек","Аутсорсинговая","мужской",31,"Незаконченное высшее","Другой вуз","False","выше среднего","Веб-разработка","21/12/2015 10:24:29","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",8,5,"Харьков",2500,NA,"DEV"
"91",NA,"Scrum Master","","","10 и более лет","5",3550,0,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",34,"Высшее","НТУУ «КПИ»","False","продвинутый","Desktop Applications,Корпоративные системы","21/12/2015 10:24:42","Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko",10,5,"Киев",3550,NA,""
"92",NA,"Software Engineer","Ruby/Rails","","3","0.5",2000,1000,"Киев","до 50 человек","Продуктовая","мужской",31,"Высшее","Другой вуз","False","ниже среднего","Веб-разработка,Корпоративные системы","21/12/2015 10:24:48","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,0.5,"Киев",2000,NA,"DEV"
"93",NA,"Sysadmin","","","1","меньше 3 месяцев",240,80,"Киев","свыше 1000 человек","Другая","мужской",23,"Высшее","НАУ","False","ниже среднего","Телекоммуникации","21/12/2015 10:24:56","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",1,0,"Киев",240,NA,""
"94",NA,"Software Engineer","Ruby/Rails","","4","1",1150,700,"Ивано-Франковск","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","Другой вуз","False","средний","Веб-разработка","21/12/2015 10:24:59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,1,"other",1150,NA,"DEV"
"95",NA,"QA engineer","","Manual QA","8","4",2800,1600,"Львов","до 10 человек","Стартап","мужской",29,"Высшее","Другой вуз","False","средний","Веб-разработка,Системное программирование","21/12/2015 10:24:59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",8,4,"Львов",2800,NA,"QA"
"96",NA,"Junior QA engineer","","Manual QA","0.5","0.5",333,125,"Днепр.","до 50 человек","Аутсорсинговая","мужской",31,"Высшее","Другой вуз","False","элементарный","Android,Веб-разработка","21/12/2015 10:25:06","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",0.5,0.5,"Днепр.",333,NA,"QA"
"97",NA,"Senior Software Engineer","JavaScript","","6","меньше 3 месяцев",3500,1500,"Киев","до 10 человек","Стартап","мужской",31,"Техникум / Колледж","","False","ниже среднего","Веб-разработка","21/12/2015 10:25:10","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 YaBrowser/15.10.2454.3860 Safari/537.36",6,0,"Киев",3500,NA,"DEV"
"98",NA,"Junior Software Engineer","Ruby/Rails","","0.25","0.25",500,0,"Львов","до 10 человек","Стартап","женский",22,"Незаконченное высшее","Львовская Политехника","True","выше среднего","Веб-разработка","21/12/2015 10:25:14","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/45.0.2454.101 Chrome/45.0.2454.101 Safari/537.36",0.25,0.25,"Львов",500,NA,"DEV"
"99",NA,"Business analyst","","","4","3",3500,-200,"Киев","свыше 1000 человек","Аутсорсинговая","женский",32,"Высшее","Другой вуз","False","продвинутый","Финансы и банки","21/12/2015 10:25:21","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,3,"Киев",3500,NA,""
"100",NA,"Software Engineer","Java","","4","4",2400,0,"Львов","до 50 человек","Аутсорсинговая","мужской",29,"Высшее","Львовская Политехника","False","выше среднего","Веб-разработка,Корпоративные системы","21/12/2015 10:25:34","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",4,4,"Львов",2400,NA,"DEV"
"101",NA,"Senior Software Engineer","Java","","7","0.5",3350,500,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",30,"Высшее","ЛНУ им. Франко","False","выше среднего","Веб-разработка,Корпоративные системы","21/12/2015 10:25:43","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",7,0.5,"Львов",3350,NA,"DEV"
"102",NA,"Senior Software Engineer","Python","","5","1.5",3000,400,"Киев","до 1000 человек","Продуктовая","мужской",27,"Высшее","НТУУ «КПИ»","False","средний","Веб-разработка","21/12/2015 10:25:46","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,1.5,"Киев",3000,NA,"DEV"
"103",NA,"Senior Software Engineer","C#/.NET","","8","4",3200,400,"Львов","до 200 человек","Аутстаффинговая","мужской",31,"Высшее","Львовская Политехника","False","выше среднего","Веб-разработка","21/12/2015 10:25:48","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0",8,4,"Львов",3200,NA,"DEV"
"104",NA,"QA Tech Lead","","Automation QA","9","меньше 3 месяцев",4500,900,"Киев","до 50 человек","Аутсорсинговая","женский",38,"Высшее","ВНТУ","False","выше среднего","Веб-разработка,Финансы и банки","21/12/2015 10:25:56","Mozilla/5.0 (Linux; Android 5.1.1; SM-N910H Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",9,0,"Киев",4500,NA,"QA"
"105",NA,"Software Engineer","JavaScript","","4","0.5",2600,850,"Киев","до 1000 человек","Аутсорсинговая","мужской",29,"Высшее","НТУУ «КПИ»","False","средний","Веб-разработка,Корпоративные системы","21/12/2015 10:26:00","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,0.5,"Киев",2600,NA,"DEV"
"106",NA,"Software Engineer","JavaScript","","5","1.5",1750,500,"Днепр.","до 200 человек","Аутсорсинговая","мужской",39,"Высшее","НГУ","False","средний","Веб-разработка,Мультимедиа","21/12/2015 10:26:06","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",5,1.5,"Днепр.",1750,NA,"DEV"
