"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"73",NA,"Senior Software Engineer","Python","","3","0.25",3500,500,"Киев","до 50 человек","Продуктовая","мужской",27,"Высшее","False","выше среднего","Веб-разработка,Gamedev","19/05/2014 11:46:26","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,0.25,"Киев",3500,NA,"DEV"
"74",NA,"Project manager","","","3","1.75",1700,700,"Харьков","до 200 человек","Продуктовая","женский",28,"Высшее","False","продвинутый","Веб-разработка,Другое","19/05/2014 11:46:26","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,1.75,"Харьков",1700,NA,"PM"
"75",NA,"Software Engineer","Python","","3","3",2350,500,"Киев","до 50 человек","Аутсорсинговая","мужской",23,"Высшее","False","выше среднего","Веб-разработка,Финансы и банки","19/05/2014 11:46:29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,3,"Киев",2350,NA,"DEV"
"76",NA,"Project manager","","","4","1.75",1700,500,"Львов","до 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","выше среднего","Веб-разработка","19/05/2014 11:46:34","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",4,1.75,"Львов",1700,NA,"PM"
"77",NA,"QA engineer","","General QA","2.5","1",1600,400,"Львов","до 50 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Desktop Applications,Другое","19/05/2014 11:46:45","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2.5,1,"Львов",1600,NA,"QA"
"78",NA,"Senior Software Engineer","Scala","","6.5","2.5",3700,300,"Киев","до 50 человек","Аутстаффинговая","мужской",29,"Высшее","False","средний","Веб-разработка,Корпоративные системы","19/05/2014 11:46:55","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36",6.5,2.5,"Киев",3700,NA,"DEV"
"79",NA,"Junior QA engineer","","General QA","1","0.5",350,300,"Киев","до 200 человек","Продуктовая","мужской",28,"Высшее","False","ниже среднего","Веб-разработка,Корпоративные системы","19/05/2014 11:47:02","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",1,0.5,"Киев",350,NA,"QA"
"80",NA,"Software Engineer","Python","","3.5","1.5",3000,400,"Другой","свыше 1000 человек","Продуктовая","мужской",23,"Два высших","False","средний","Веб-разработка,Телекоммуникации","19/05/2014 11:47:07","Mozilla/5.0 (X11; Linux i686 (x86_64)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3.5,1.5,"other",3000,NA,"DEV"
"81",NA,"Software Engineer","C#/.NET","","3","0.25",2200,700,"Харьков","до 200 человек","Аутсорсинговая","мужской",26,"Незаконченное высшее","False","средний","Веб-разработка,Корпоративные системы","19/05/2014 11:47:10","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,0.25,"Харьков",2200,NA,"DEV"
"82",NA,"Senior Software Engineer","Objective-C","","6","2",3900,500,"Киев","до 10 человек","Продуктовая","мужской",26,"Высшее","False","средний","iOS","19/05/2014 11:47:20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:29.0) Gecko/20100101 Firefox/29.0",6,2,"Киев",3900,NA,"DEV"
"83",NA,"Senior Software Engineer","C#/.NET","","10 и более лет","5",2800,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",32,"Высшее","False","продвинутый","Веб-разработка,Корпоративные системы","19/05/2014 11:47:25","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",10,5,"Киев",2800,NA,"DEV"
"84",NA,"Senior Software Engineer","JavaScript","","6.5","5",1700,0,"Харьков","до 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","средний","Веб-разработка","19/05/2014 11:47:28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",6.5,5,"Харьков",1700,NA,"DEV"
"85",NA,"Junior QA engineer","","Manual QA","2.5","0.75",900,0,"Днепр.","свыше 1000 человек","Аутсорсинговая","женский",24,"Высшее","False","выше среднего","Финансы и банки","19/05/2014 11:47:39","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",2.5,0.75,"Днепр.",900,NA,"QA"
"86",NA,"Верстальщик","","","6.5","5.5",1800,0,"Харьков","до 200 человек","Аутсорсинговая","мужской",29,"Два высших","False","ниже среднего","Веб-разработка","19/05/2014 11:47:40","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0",6.5,5.5,"Харьков",1800,NA,""
"87",NA,"Senior Software Engineer","Objective-C","","10 и более лет","4",3500,0,"Киев","до 50 человек","Продуктовая","мужской",38,"Высшее","False","элементарный","Desktop Applications","19/05/2014 11:48:01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",10,4,"Киев",3500,NA,"DEV"
"88",NA,"Software Engineer","Java","","2.5","2.5",1400,200,"Киев","свыше 1000 человек","Продуктовая","мужской",24,"Высшее","False","средний","Android","19/05/2014 11:48:14","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2.5,2.5,"Киев",1400,NA,"DEV"
"89",NA,"Team lead","","","3","3",1150,200,"Днепр.","до 1000 человек","Аутстаффинговая","мужской",26,"Высшее","False","средний","Android,iOS","19/05/2014 11:48:18","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",3,3,"Днепр.",1150,NA,"PM"
"90",NA,"Junior Software Engineer","Python","","1","0.5",300,0,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",19,"Незаконченное высшее","True","средний","Финансы и банки,Другое","19/05/2014 11:48:19","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1,0.5,"Львов",300,NA,"DEV"
"91",NA,"Senior Software Engineer","Perl","","10 и более лет","1",3500,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",33,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","19/05/2014 11:48:35","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0",10,1,"Киев",3500,NA,"DEV"
"92",NA,"Technical Lead","Java","","7.5","2",4000,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",28,"Высшее","False","выше среднего","Телекоммуникации,Корпоративные системы","19/05/2014 11:48:42","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",7.5,2,"Киев",4000,NA,"SDEV"
"93",NA,"Software Engineer","JavaScript","","1.5","1.5",1300,600,"Харьков","до 200 человек","Продуктовая","мужской",21,"Незаконченное высшее","True","средний","Веб-разработка","19/05/2014 11:48:51","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",1.5,1.5,"Харьков",1300,NA,"DEV"
"94",NA,"Senior Software Engineer","C++","","6.5","1.25",4400,600,"Киев","до 50 человек","Продуктовая","мужской",27,"Незаконченное высшее","True","ниже среднего","Системное программирование","19/05/2014 11:48:58","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",6.5,1.25,"Киев",4400,NA,"DEV"
"95",NA,"Junior Software Engineer","Java","","1.5","1.5",1050,600,"Харьков","до 1000 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","True","средний","Веб-разработка,Корпоративные системы","19/05/2014 11:49:03","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",1.5,1.5,"Харьков",1050,NA,"DEV"
"96",NA,"HR","","","1.5","0.5",700,100,"Киев","до 200 человек","Аутсорсинговая","женский",26,"Высшее","False","средний","Другое","19/05/2014 11:49:04","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1.5,0.5,"Киев",700,NA,""
"97",NA,"Software Engineer","Scala","","4","0.75",2650,0,"Киев","до 200 человек","Аутстаффинговая","женский",23,"Высшее","False","продвинутый","Веб-разработка","19/05/2014 11:49:29","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",4,0.75,"Киев",2650,NA,"DEV"
"98",NA,"Technical Lead","JavaScript","","1","1",1100,500,"Мариуполь","до 200 человек","Аутсорсинговая","мужской",28,"Среднее","False","ниже среднего","Android,iOS","19/05/2014 11:49:40","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:32.0) Gecko/20100101 Firefox/32.0",1,1,"other",1100,NA,"SDEV"
"99",NA,"Software Engineer","Java","","3.5","2.5",2700,100,"Одесса","до 1000 человек","Аутстаффинговая","мужской",27,"Высшее","False","выше среднего","Корпоративные системы","19/05/2014 11:49:45","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.114 Safari/537.36",3.5,2.5,"Одесса",2700,NA,"DEV"
"100",NA,"Senior Software Engineer","PHP","","7","меньше 3 месяцев",3750,1250,"Киев","до 10 человек","Продуктовая","мужской",33,"Незаконченное высшее","False","средний","eCommerce","19/05/2014 11:49:47","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",7,0,"Киев",3750,NA,"DEV"
"101",NA,"Системный администратор","","","10 и более лет","0.25",2320,600,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",33,"Высшее","False","средний","","19/05/2014 11:50:06","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",10,0.25,"Львов",2320,NA,"ADM"
"102",NA,"QA engineer","","Manual QA","2","меньше 3 месяцев",1500,400,"Киев","до 10 человек","Аутсорсинговая","женский",24,"Незаконченное высшее","False","выше среднего","Веб-разработка","19/05/2014 11:50:07","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",2,0,"Киев",1500,NA,"QA"
"103",NA,"Software Engineer","C#/.NET","","4","2",1700,1000,"Одесса","до 1000 человек","Аутсорсинговая","мужской",23,"Незаконченное высшее","True","средний","Веб-разработка,eCommerce","19/05/2014 11:50:11","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",4,2,"Одесса",1700,NA,"DEV"
"104",NA,"QA engineer","","Manual QA","1.5","0.5",460,460,"Киев","до 50 человек","Продуктовая","мужской",29,"Высшее","False","ниже среднего","Веб-разработка,Финансы и банки","19/05/2014 11:50:14","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1.5,0.5,"Киев",460,NA,"QA"
"105",NA,"Software Engineer","C#/.NET","","2","0.5",1900,400,"Харьков","до 10 человек","Стартап","мужской",33,"Высшее","False","средний","Веб-разработка","19/05/2014 11:50:23","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2,0.5,"Харьков",1900,NA,"DEV"
"106",NA,"Software Engineer","PHP","","5.5","1.5",1700,400,"Днепр.","до 10 человек","Продуктовая","мужской",29,"Высшее","False","элементарный","Веб-разработка,Корпоративные системы","19/05/2014 11:50:31","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36",5.5,1.5,"Днепр.",1700,NA,"DEV"
"107",NA,"Senior Software Engineer","Objective-C","","7.5","меньше 3 месяцев",4000,500,"Киев","до 1000 человек","Аутсорсинговая","мужской",29,"Высшее","False","выше среднего","iOS","19/05/2014 11:50:43","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",7.5,0,"Киев",4000,NA,"DEV"
"108",NA,"Senior QA engineer","","Automation QA","8","0.5",3000,500,"Киев","до 50 человек","Аутстаффинговая","женский",29,"Кандидат","False","выше среднего","Веб-разработка","19/05/2014 11:50:52","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",8,0.5,"Киев",3000,NA,"QA"
"109",NA,"Junior QA engineer","","Manual QA","1.5","1.5",1300,600,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",29,"Высшее","False","средний","Embedded","19/05/2014 11:50:54","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",1.5,1.5,"Киев",1300,NA,"QA"
"110",NA,"Software Engineer","Other","","4.5","0.5",2800,-1400,"Киев","до 1000 человек","Продуктовая","мужской",30,"Высшее","False","выше среднего","Веб-разработка","19/05/2014 11:50:55","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:29.0) Gecko/20100101 Firefox/29.0",4.5,0.5,"Киев",2800,NA,"DEV"
